,symbol,Ltp,%change,open,High,Low,Qty,Pclose,diff
171,NCCD86,"1,181.00",0,"1,181.00","1,181.00","1,181.00",400,"1,181.00",0
172,NESDO,"1,510.00",0.59,"1,481.00","1,530.00","1,481.00","1,850","1,501.10",8.9
173,NFS,631.00,-1.17,633.00,644.00,630.00,"13,332",638.50,-7.5
174,NGPL,416.80,3.17,408.00,418.00,404.00,"1,348,861",404.00,12.8
175,NHDL,687.00,-0.48,690.30,696.70,683.10,"2,884",690.30,-3.3
176,NHPC,189.00,-0.47,188.00,190.00,187.20,"28,558",189.90,-0.9
177,NIBLGF,8.38,-1.41,8.38,8.38,8.38,"1,400",8.50,-0.12
178,NIBLSTF,8.34,-0.12,8.29,8.45,8.29,"3,845",8.35,-0.01
179,NIBSF2,8.28,-2.59,8.33,8.50,8.19,"24,400",8.50,-0.22
180,NICA,317.00,0.38,314.00,319.00,314.00,"27,639",315.80,1.2
181,NICAD2091,"1,090.00",1.02,"1,079.00","1,090.00","1,079.00",250,"1,079.00",11
182,NICBF,8.82,1.97,8.56,8.82,8.56,"1,400",8.65,0.17
183,NICD83/84,"1,130.00",-1.4,"1,130.00","1,130.00","1,130.00",20,"1,146.00",-16
184,NICFC,8.98,2.75,8.62,8.98,8.62,"13,100",8.74,0.24
185,NICGF2,8.75,0,8.65,8.80,8.65,"2,200",8.75,0
186,NICL,518.00,0.19,514.00,520.10,513.00,"5,211",517.00,1
187,NICLBSL,573.20,1.45,554.00,573.20,545.00,"12,338",565.00,8.2
188,NICSF,8.72,1.99,8.50,8.72,8.39,"25,301",8.55,0.17
189,NIFRA,267.80,-0.26,270.90,271.00,266.80,"99,112",268.50,-0.7
190,NIFRAGED,"1,070.00",-0.1,"1,071.10","1,073.00","1,070.00",51,"1,071.10",-1.1
191,NIFRAUR85/86,"1,124.00",2,"1,102.00","1,102.00","1,102.00",1,"1,102.00",22
192,NIL,610.80,0.07,610.00,620.00,600.10,"5,606",610.40,0.4
193,NIMB,191.10,-0.93,195.00,195.00,191.00,"109,707",192.90,-1.8
194,NIMBD90,"1,251.00",-1.96,"1,251.00","1,251.00","1,251.00",25,"1,276.00",-25
195,NIMBPO,157.80,-1.74,160.00,160.00,157.80,303,160.60,-2.8
196,NLG,690.00,0,703.00,703.00,678.30,"18,676",690.00,0
197,NLIC,822.00,0.49,834.30,834.30,811.00,"65,078",818.00,4
198,NLICL,607.00,0.76,601.00,611.60,600.10,"9,168",602.40,4.6
199,NMB,248.10,-0.6,248.00,249.20,245.30,"41,229",249.60,-1.5
